City,lat,temp,sunrise,sunset,solar_rad,day_length
whitehorse,60.71611,-1.1,10/27/2020 16:13,10/27/2020 1:15,0,542
zhanaozen,43.34116,7.6,10/27/2020 3:05,10/27/2020 13:33,0,628
tabialan,6.02806,27,10/27/2020 21:38,10/27/2020 9:32,232.9,714
tiksi,71.69002,-9.1,10/27/2020 22:41,10/27/2020 7:30,8.4,529
nishihara,-99,-99,-99,-99,-99,-99
norrkoping,58.59419,10,10/27/2020 5:59,10/27/2020 15:16,0,557
katsuura,35.14621,19.9,10/27/2020 20:56,10/27/2020 7:48,568.3,652
abu dhabi,24.46667,25,10/27/2020 2:25,10/27/2020 13:45,0,680
salalah,17.01505,22.9,10/27/2020 2:19,10/27/2020 13:55,0,696
henties bay,-22.11667,13.8,10/27/2020 4:19,10/27/2020 17:11,0,772
ayagoz,47.96447,9.8,10/27/2020 1:21,10/27/2020 11:24,66,603
lakes entrance,-37.86679,13.1,10/27/2020 19:06,10/27/2020 8:39,176.5,813
barawe,-99,-99,-99,-99,-99,-99
falun,60.60357,7.8,10/27/2020 6:09,10/27/2020 15:13,0,544
ahipara,-35.16667,21.6,10/27/2020 17:25,10/27/2020 6:49,887,804
kapaa,22.07521,21.7,10/27/2020 16:38,10/27/2020 4:03,82.8,685
longyearbyen,-99,-99,-99,-99,-99,-99
mataura,-23.34722,23.8,10/27/2020 14:53,10/27/2020 3:47,90.7,774
gamba,-2.65,24.6,10/27/2020 5:02,10/27/2020 17:09,0,727
irpa irpa,-17.71667,15.2,10/27/2020 9:48,10/27/2020 22:29,0,761
cap malheureux,-19.98417,22.2,10/27/2020 1:29,10/27/2020 14:16,63.6,767
warqla,31.94932,17.4,10/27/2020 5:50,10/27/2020 16:53,0,663
springdale,36.18674,1.7,10/27/2020 12:35,10/27/2020 23:25,0,650
port hedland,-20.31215,31.1,10/27/2020 21:25,10/27/2020 10:12,959.8,767
avarua,-21.20778,22,10/27/2020 15:58,10/27/2020 4:47,111.2,769
labuhan,3.7278,29,10/27/2020 23:08,10/27/2020 11:09,656.8,721
ribeira grande,17.18561,23.7,10/27/2020 7:36,10/27/2020 19:11,0,695
tautira,-17.73333,23.8,10/27/2020 14:53,10/27/2020 3:47,88.3,774
san patricio,19.22534,26.7,10/27/2020 12:55,10/27/2020 0:26,0,691
port lincoln,-34.72625,14.5,10/27/2020 19:47,10/27/2020 9:11,395.1,804
san juan de la maguana,18.80588,23.6,10/27/2020 10:42,10/27/2020 22:12,0,690
itaituba,-4.27611,26.7,10/27/2020 9:17,10/27/2020 21:28,0,731
khetia,21.67124,26.5,10/27/2020 1:11,10/27/2020 12:34,158.9,683
ozgon,40.76994,12,10/27/2020 1:35,10/27/2020 12:12,38.4,637
kavieng,-2.57783,29.3,10/27/2020 19:39,10/27/2020 7:33,766,714
barrow,71.29058,-7,10/27/2020 18:49,10/27/2020 1:30,0,401
tawkar,18.4254,24,10/27/2020 3:24,10/27/2020 14:49,0,685
tamalameque,8.85221,24.5,10/27/2020 10:46,10/27/2020 22:34,0,708
khatanga,71.98002,-17.2,10/27/2020 0:14,10/27/2020 8:18,0.3,484
cherskiy,68.75325,-0.5,10/27/2020 21:08,10/27/2020 6:15,81.2,547
sentyabrskiy,-99,-99,-99,-99,-99,-99
bako,5.78333,23.6,10/27/2020 2:56,10/27/2020 14:57,0,721
qaanaaq,77.46666,-13.3,10/27/2020 12:47,10/27/2020 19:47,0,420
malakal,9.53342,29,10/27/2020 3:44,10/27/2020 15:22,0,698
ingham,-18.64552,26.2,10/27/2020 19:34,10/27/2020 8:19,218.7,765
